abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
Temperance Party and,https://www.nytimes.com/1874/08/01/archives/gov-dix-and-the-temperance-party.html,Temperance Party and,,4,The New York Times,[],"{'main': 'GOV. DIX AND THE TEMPERANCE PARTY.', 'kicker': None, 'content_kicker': None, 'print_headline': 'GOV. DIX AND THE TEMPERANCE PARTY.', 'name': None, 'seo': None, 'sub': None}",[],1874-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/01a7b5b3-675d-574a-bf53-05db92dc4843,0,nyt://article/01a7b5b3-675d-574a-bf53-05db92dc4843
Volunteer Forces; Camp at Wimbledon; Correspondence,https://www.nytimes.com/1874/08/01/archives/england-the-volunteer-forces-the-camp-at-wimbledon-the-contest-for.html,Volunteer Forces; Camp at Wimbledon; Correspondence,,2,The New York Times,[],"{'main': 'ENGLAND.; THE VOLUNTEER FORCES. THE CAMP AT WIMBLEDON THE CONTEST FOR PRIZES.', 'kicker': None, 'content_kicker': None, 'print_headline': 'ENGLAND.; THE VOLUNTEER FORCES. THE CAMP AT WIMBLEDON THE CONTEST FOR PRIZES.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'England', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'LONDON', 'rank': 2, 'major': 'N'}]",1874-08-01T05:00:00+0000,article,None,Archives,"{'original': 'From Our Own Correspondent', 'person': [{'firstname': 'From', 'middlename': 'Our', 'lastname': 'Own', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/05b18579-e165-596c-9941-8680b62bd564,0,nyt://article/05b18579-e165-596c-9941-8680b62bd564
,https://www.nytimes.com/1874/08/01/archives/the-presence-of-the-german-fleet-probable-effect-on-the-spanish.html,,,1,The New York Times,[],"{'main': 'THE PRESENCE OF THE GERMAN FLEET PROBABLE EFFECT ON THE SPANISH NAVY.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE PRESENCE OF THE GERMAN FLEET PROBABLE EFFECT ON THE SPANISH NAVY.', 'name': None, 'seo': None, 'sub': None}",[],1874-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/08532613-b770-5326-9c55-fe26f77f59d4,0,nyt://article/08532613-b770-5326-9c55-fe26f77f59d4
,https://www.nytimes.com/1874/08/01/archives/testing-steam-fire-tugs.html,,,1,The New York Times,[],"{'main': 'TESTING STEAM FIRE TUGS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'TESTING STEAM FIRE TUGS.', 'name': None, 'seo': None, 'sub': None}",[],1874-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0bdb6515-82b6-5c69-ae0b-da0180f66261,0,nyt://article/0bdb6515-82b6-5c69-ae0b-da0180f66261
,https://www.nytimes.com/1874/08/01/archives/supreme-court-general-term-before-chief-justice-davis-and-judges.html,,,3,The New York Times,[],"{'main': ""SUPREME COURT GENERAL TERM.; Before Chief Justice Davis and Judges Brady and Daniels. WOMAN'S RIGHTS AND LIBERTIES."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""SUPREME COURT GENERAL TERM.; Before Chief Justice Davis and Judges Brady and Daniels. WOMAN'S RIGHTS AND LIBERTIES."", 'name': None, 'seo': None, 'sub': None}",[],1874-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0ed52469-ccf0-5109-85f7-95c403463823,0,nyt://article/0ed52469-ccf0-5109-85f7-95c403463823
Ute Scalp Dance,https://www.nytimes.com/1874/08/01/archives/scalp-dance-how-the-utes-celebrate-their-victories.html,Ute Scalp Dance,,2,The New York Times,[],"{'main': 'SCALP DANCE.; HOW THE UTES CELEBRATE THEIR VICTORIES.', 'kicker': None, 'content_kicker': None, 'print_headline': 'SCALP DANCE.; HOW THE UTES CELEBRATE THEIR VICTORIES.', 'name': None, 'seo': None, 'sub': None}",[],1874-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/10c0f1e5-dce9-546e-862f-b174bd80037f,0,nyt://article/10c0f1e5-dce9-546e-862f-b174bd80037f
,https://www.nytimes.com/1874/08/01/archives/railroad-accident-the-sharon-express-thrown-from-the-track-several.html,,,1,The New York Times,[],"{'main': 'RAILROAD ACCIDENT.; THE SHARON EXPRESS THROWN FROM THE TRACK SEVERAL NEW-YORKERS INJURED.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'RAILROAD ACCIDENT.; THE SHARON EXPRESS THROWN FROM THE TRACK SEVERAL NEW-YORKERS INJURED.', 'name': None, 'seo': None, 'sub': None}",[],1874-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/11417f1f-2867-53cc-a04e-0791e1b2c41f,0,nyt://article/11417f1f-2867-53cc-a04e-0791e1b2c41f
"SARATOGA, N.Y., July 31. To-morrow, the fourth day of the meeting, there are three races. The first is a free handicap, one mile, with the following starters: Fadladeen, aged; Jean Valjean, 4 years; Minnie Mac. 4 years; B.F. Carver, 4 years; Woodbine, 5 years; Diavolo, 4 years; Dublin, 3 years; Madge, 3 years; Lotta Moon, 3 years; Botany Bay, 3 years.  ",https://www.nytimes.com/1874/08/01/archives/the-turf-entries-for-todays-races-at-saratoga.html,,,1,The New York Times,[],"{'main': ""THE TURF.; ENTRIES FOR TO-DAY'S RACES AT SARATOGA"", 'kicker': '1', 'content_kicker': None, 'print_headline': ""THE TURF.; ENTRIES FOR TO-DAY'S RACES AT SARATOGA"", 'name': None, 'seo': None, 'sub': None}",[],1874-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/131a1df2-bdad-564e-8c34-868efcc82e53,0,nyt://article/131a1df2-bdad-564e-8c34-868efcc82e53
,https://www.nytimes.com/1874/08/01/archives/fireescape-burglars.html,,,2,The New York Times,[],"{'main': 'FIRE-ESCAPE BURGLARS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'FIRE-ESCAPE BURGLARS.', 'name': None, 'seo': None, 'sub': None}",[],1874-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/18efad08-4fee-5d65-aad7-114364d8649a,0,nyt://article/18efad08-4fee-5d65-aad7-114364d8649a
,https://www.nytimes.com/1874/08/01/archives/the-investigating-committee.html,,,5,The New York Times,[],"{'main': 'THE INVESTIGATING COMMITTEE.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE INVESTIGATING COMMITTEE.', 'name': None, 'seo': None, 'sub': None}",[],1874-08-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1917dca2-1b05-5c93-90f7-0d0a1bdcdb9a,0,nyt://article/1917dca2-1b05-5c93-90f7-0d0a1bdcdb9a
