abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
"One of the largest of our soft coal operators, who for years has been an important factor in the development of the resources of the State of Pennsylvania, has within the past few months acquired a large acreage in the Pocahontas coal district of West Virginia, which will be tributary to the Norfolk and Western Railroad.  ",https://www.nytimes.com/1902/06/01/archives/rapid-bituminous-development-capital-energetically-active-in-west.html,,,WEEKLY,4,The New York Times,[],"{'main': 'Rapid Bituminous Development.; Capital Energetically Active in West Virginia.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Rapid Bituminous Development.; Capital Energetically Active in West Virginia.', 'name': None, 'seo': None, 'sub': None}",[],1902-06-01T05:00:00+0000,article,None,Archives,"{'original': 'FREDERICK E. SAWARD', 'person': [{'firstname': 'Frederick', 'middlename': 'E.', 'lastname': 'SAWARD', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0070608f-5293-5fc5-bf12-6975346aa15d,0,nyt://article/0070608f-5293-5fc5-bf12-6975346aa15d
"Quite generally in Wall Street surprise is expressed that W.K. Vanderbilt should have returned from abroad at this season of the year, when many prominent New Yorkers are making preparations for the regular Summer exodus -- either to the country or to London to be present at the coronation ceremonies.  ",https://www.nytimes.com/1902/06/01/archives/wk-vanderbilts-return.html,,,WEEKLY,6,The New York Times,[],"{'main': ""W.K. VANDERBILT'S RETURN."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""W.K. VANDERBILT'S RETURN."", 'name': None, 'seo': None, 'sub': None}",[],1902-06-01T05:00:00+0000,article,None,Archives,"{'original': 'H.M.C', 'person': [{'firstname': 'H.', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/00c52bf2-b050-5f1c-b1c4-b43a71e0e87f,0,nyt://article/00c52bf2-b050-5f1c-b1c4-b43a71e0e87f
"ELECTROPHOBIA is the disease which a woman who rides much in the electric cars says has become chronic with her. It is a most unpleasant disorder. accompanied by irritability, a feeling of antipathy to human beings generally, and in particular a chip-on-the-shoulder feeling at all times when traveling in the street cars.  ",https://www.nytimes.com/1902/06/01/archives/women-here-and-there.html,,,T,10,The New York Times,[],"{'main': 'Women Here and There', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Women Here and There', 'name': None, 'seo': None, 'sub': None}",[],1902-06-01T05:00:00+0000,article,None,Archives,"{'original': 'M.A.T', 'person': [], 'organization': None}",Archives,nyt://article/01a6e8bb-c696-534f-8938-c62253c881a2,0,nyt://article/01a6e8bb-c696-534f-8938-c62253c881a2
"In the following list ""mtg"" stands for mortgage and ""R S"" for revenue stamps. The war revenue law, as amended, provides that a 25-cent stamp shall be placed on all conveyances where the consideration or value exceeds $2,500 and is under $3,000. Twenty-five cents additional is required for each $500 of consideration over $3,000.  ",https://www.nytimes.com/1902/06/01/archives/real-estate-transfers.html,,,,19,The New York Times,[],"{'main': 'REAL ESTATE TRANSFERS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'REAL ESTATE TRANSFERS.', 'name': None, 'seo': None, 'sub': None}",[],1902-06-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/028859e1-3507-5aca-95e8-b5c6f2c1edc2,0,nyt://article/028859e1-3507-5aca-95e8-b5c6f2c1edc2
Cattani's expose,https://www.nytimes.com/1902/06/01/archives/the-humberts-downfall-burglary-of-chateau-vives-eaux-viewed-with.html,Cattani's expose,,,30,The New York Times,[],"{'main': ""THE HUMBERTS' DOWNFALL; Burglary of Chateau Vives Eaux Viewed with Suspicion."", 'kicker': None, 'content_kicker': None, 'print_headline': ""THE HUMBERTS' DOWNFALL; Burglary of Chateau Vives Eaux Viewed with Suspicion."", 'name': None, 'seo': None, 'sub': None}",[],1902-06-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/04287391-fe0b-5258-a33c-20819dc361b9,0,nyt://article/04287391-fe0b-5258-a33c-20819dc361b9
,https://www.nytimes.com/1902/06/01/archives/still-waving-the-bloody-shirt.html,,,,8,The New York Times,[],"{'main': 'Still Waving the Bloody Shirt.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Still Waving the Bloody Shirt.', 'name': None, 'seo': None, 'sub': None}",[],1902-06-01T05:00:00+0000,article,None,Archives,"{'original': 'By Sidney Herbert In the Savannah Morning News.)', 'person': [{'firstname': 'Sidney', 'middlename': 'Herbert', 'lastname': 'In', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/060deaa8-797b-547b-8db0-2e0ce62d8065,0,nyt://article/060deaa8-797b-547b-8db0-2e0ce62d8065
,https://www.nytimes.com/1902/06/01/archives/catholic-interests-in-spain.html,,,,9,The New York Times,[],"{'main': 'Catholic Interests in Spain.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Catholic Interests in Spain.', 'name': None, 'seo': None, 'sub': None}",[],1902-06-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/06e42a25-c50a-5427-b94d-df29601620de,0,nyt://article/06e42a25-c50a-5427-b94d-df29601620de
"LONDON, May 28. -- The Duke of Deddebroke to-day rehearsed the manner in which he will manage the royal peanut privilege on coronation day. The Duke suffered somewhat from stage fright, and did not fill his sacks very well, but hopes to overcome this before the date of the performance.  ",https://www.nytimes.com/1902/06/01/archives/the-coronation-circus.html,,,,26,The New York Times,[],"{'main': 'The Coronation Circus', 'kicker': '1', 'content_kicker': None, 'print_headline': 'The Coronation Circus', 'name': None, 'seo': None, 'sub': None}",[],1902-06-01T05:00:00+0000,article,None,Archives,"{'original': 'From The Baltimore American', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/07289e73-deb9-52fe-ae6d-54deb3a8f322,0,nyt://article/07289e73-deb9-52fe-ae6d-54deb3a8f322
Gifts exhibited,https://www.nytimes.com/1902/06/01/archives/how-eastern-potentates-honored-englands-heir.html,Gifts exhibited,,,24,The New York Times,[],"{'main': ""HOW EASTERN POTENTATES HONORED ENGLAND'S HEIR."", 'kicker': None, 'content_kicker': None, 'print_headline': ""HOW EASTERN POTENTATES HONORED ENGLAND'S HEIR."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'England', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'KING', 'rank': 2, 'major': 'N'}]",1902-06-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/078fbbf3-6d26-55f4-b360-431db76af4be,0,nyt://article/078fbbf3-6d26-55f4-b360-431db76af4be
,https://www.nytimes.com/1902/06/01/archives/president-gets-a-cuban-battle-flag.html,,,,9,The New York Times,[],"{'main': 'President Gets a Cuban Battle Flag.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'President Gets a Cuban Battle Flag.', 'name': None, 'seo': None, 'sub': None}",[],1902-06-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/08314863-ec95-5c9f-b3e4-de3edb871116,0,nyt://article/08314863-ec95-5c9f-b3e4-de3edb871116
