abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,print_section
"Furlong, murderer",https://www.nytimes.com/1905/02/01/archives/furlong-the-murderer.html,"Furlong, murderer",,8,The New York Times,[],"{'main': 'FURLONG, THE MURDERER.', 'kicker': None, 'content_kicker': None, 'print_headline': 'FURLONG, THE MURDERER.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'FURLONG', 'rank': 1, 'major': 'N'}]",1905-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/00453f9e-6b58-54fc-92e3-ae3475ed5c2b,0,nyt://article/00453f9e-6b58-54fc-92e3-ae3475ed5c2b,
,https://www.nytimes.com/1905/02/01/archives/obituary-1-no-title.html,,,9,The New York Times,[],"{'main': 'Obituary 1 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Obituary 1 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1905-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0075f843-7778-583b-a100-7cc2f614169a,0,nyt://article/0075f843-7778-583b-a100-7cc2f614169a,
,https://www.nytimes.com/1905/02/01/archives/chinese-seek-redress-appeal-to-their-minister-through-american.html,,,2,The New York Times,[],"{'main': 'CHINESE SEEK REDRESS.; Appeal to Their Minister Through American Clergyman.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'CHINESE SEEK REDRESS.; Appeal to Their Minister Through American Clergyman.', 'name': None, 'seo': None, 'sub': None}",[],1905-02-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/00e02b5d-fb49-5365-9085-6300e7425629,0,nyt://article/00e02b5d-fb49-5365-9085-6300e7425629,
"Turning back over the files of a newspaper for the past few days any one may find accounts of five more or less successful attempts at highway robbery on the streets, and it is probable that more cases of the same kind passed unreported than the police heard of.  ",https://www.nytimes.com/1905/02/01/archives/lawlessness-in-new-york.html,,,8,The New York Times,[],"{'main': 'LAWLESSNESS IN NEW YORK.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'LAWLESSNESS IN NEW YORK.', 'name': None, 'seo': None, 'sub': None}",[],1905-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0829b95f-5983-55de-a9b1-3ad51e2560cb,0,nyt://article/0829b95f-5983-55de-a9b1-3ad51e2560cb,
,https://www.nytimes.com/1905/02/01/archives/a-new-2-counterfeit.html,,,5,The New York Times,[],"{'main': 'A New $2 Counterfeit.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'A New $2 Counterfeit.', 'name': None, 'seo': None, 'sub': None}",[],1905-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0ab78f84-cdc6-5930-81c4-1866afe01433,0,nyt://article/0ab78f84-cdc6-5930-81c4-1866afe01433,
,https://www.nytimes.com/1905/02/01/archives/resolve-in-the-wrong-place.html,,,8,The New York Times,[],"{'main': 'Resolve in the Wrong Place.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Resolve in the Wrong Place.', 'name': None, 'seo': None, 'sub': None}",[],1905-02-01T05:00:00+0000,article,None,Archives,"{'original': 'From The Pittsburg Post', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0d1f8d13-d81a-591a-8c18-8a42b45b0e65,0,nyt://article/0d1f8d13-d81a-591a-8c18-8a42b45b0e65,
"ALBANY, Jan. 31. -- The Senate to-day ordered from the table the presentment of the New York County Grand Jury with reference to alleged bribery of legislators by liquor men during the session of 1904. It was referred, on motion of Senator Raines, to the Judiciary Committee.  ",https://www.nytimes.com/1905/02/01/archives/says-jerome-got-money-perhaps-legitimately-raines-adds-speaking-of.html,,,2,The New York Times,[],"{'main': 'SAYS JEROME GOT MONEY.; Perhaps Legitimately, Raines Adds, Speaking of Saloon Fund.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'SAYS JEROME GOT MONEY.; Perhaps Legitimately, Raines Adds, Speaking of Saloon Fund.', 'name': None, 'seo': None, 'sub': None}",[],1905-02-01T05:00:00+0000,article,None,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/0dc5c802-2a34-56cf-b00c-76ab774e5cd6,0,nyt://article/0dc5c802-2a34-56cf-b00c-76ab774e5cd6,
Paris interview,https://www.nytimes.com/1905/02/01/archives/talk-with-admiral-davis-american-naval-officer-talks-in-paris-on.html,Paris interview,,8,The New York Times,[],"{'main': ""TALK WITH ADMIRAL DAVIS.; American Naval Officer Talks in Paris on His Country's Policy,"", 'kicker': None, 'content_kicker': None, 'print_headline': ""TALK WITH ADMIRAL DAVIS.; American Naval Officer Talks in Paris on His Country's Policy,"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'DAVIS, REAR ADMIRAL C. H.', 'rank': 1, 'major': 'N'}]",1905-02-01T05:00:00+0000,article,None,Archives,"{'original': 'From The London Pall Mall Gazette', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/103a7d53-1581-5665-8c39-cfb132f706ed,0,nyt://article/103a7d53-1581-5665-8c39-cfb132f706ed,
Quits Civil Ser. Com,https://www.nytimes.com/1905/02/01/archives/brooklynites-make-transit-complaints-railroad-commissioners-listen.html,Quits Civil Ser. Com,,16,The New York Times,[],"{'main': 'BROOKLYNITES MAKE TRANSIT COMPLAINTS; Railroad Commissioners Listen to Plans for Improvement. LOOP OF BRIDGES URGED Scheme for Elevated Connection Between East River Spans Indorsed by Company Officers.', 'kicker': None, 'content_kicker': None, 'print_headline': 'BROOKLYNITES MAKE TRANSIT COMPLAINTS; Railroad Commissioners Listen to Plans for Improvement. LOOP OF BRIDGES URGED Scheme for Elevated Connection Between East River Spans Indorsed by Company Officers.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Brooklyn (NYC)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'BRIDGES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'TRADING STAMPS', 'rank': 4, 'major': 'N'}]",1905-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1112b3bd-17bb-5931-bd76-dfac3c1844c5,0,nyt://article/1112b3bd-17bb-5931-bd76-dfac3c1844c5,
,https://www.nytimes.com/1905/02/01/archives/front-page-9-no-title.html,,,1,The New York Times,[],"{'main': 'Front Page 9 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Front Page 9 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1905-02-01T05:00:00+0000,article,None,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/12b9245e-fee6-5ba4-90f5-c8c3fd141d1b,0,nyt://article/12b9245e-fee6-5ba4-90f5-c8c3fd141d1b,
