abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,subsection_name
"May, Hon. Henry, of Baltimore",https://www.nytimes.com/1866/10/01/archives/obituary-death-of-rev-e-w-wright-d-d-death-of-capt-thomas-schuyler.html,"May, Hon. Henry, of Baltimore",,,2,The New York Times,[],"{'main': 'OBITUARY.; Death of Rev. E. W. Wright, D. D. Death of Capt. Thomas Schuyler.. Death of Charles Alexander, of Philadelphia. Death of John L. Scripps. Hon. Jon Moore. The Death of Henry May.', 'kicker': None, 'content_kicker': None, 'print_headline': 'OBITUARY.; Death of Rev. E. W. Wright, D. D. Death of Capt. Thomas Schuyler.. Death of Charles Alexander, of Philadelphia. Death of John L. Scripps. Hon. Jon Moore. The Death of Henry May.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'MISCELLANEOUS', 'rank': 6, 'major': 'N'}]",1866-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/00f606a9-fab3-5e7a-bbe5-a6f9c8f5bf92,0,nyt://article/00f606a9-fab3-5e7a-bbe5-a6f9c8f5bf92,
"JOHN T. ROBERTSON was convicted in the Cir ouit Court of Stafford County, Va., on Wednesday, of the murder of GUSTAVUS and NANCY LIMERICK, two old persons who lived alone in a house near Fred ericksburgh. The Judge sentenced the prisoner tobe hung on the 16th of November.  ",https://www.nytimes.com/1866/10/01/archives/news-of-the-day-general-news-local-news.html,,,,4,The New York Times,[],"{'main': 'NEWS OF THE DAY.; GENERAL NEWS. LOCAL NEWS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'NEWS OF THE DAY.; GENERAL NEWS. LOCAL NEWS.', 'name': None, 'seo': None, 'sub': None}",[],1866-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0350face-d9db-59cd-90b3-24f1317a437e,0,nyt://article/0350face-d9db-59cd-90b3-24f1317a437e,
"FIRE IN BROOME-STREET.--About 8:15 o'clock last evening, a fire broke out in the basement of No. 444 Broome-street, near Broadway, occupied by A. SESIER, as a barber-shop. The insurance Patrol. (No. 2,) were the first to receive the alarm, and they at once proceeded to the scene, with their Carl and hose-carriage, and succeeded in stretching hydrant line and playing a stream of water upon the premises on fire.  ",https://www.nytimes.com/1866/10/01/archives/general-city-news.html,,,,8,The New York Times,[],"{'main': 'GENERAL CITY NEWS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'GENERAL CITY NEWS.', 'name': None, 'seo': None, 'sub': None}",[],1866-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/08ad418d-997c-5be1-923c-b3dd73b717d2,0,nyt://article/08ad418d-997c-5be1-923c-b3dd73b717d2,
,https://www.nytimes.com/1866/10/01/archives/connecticut-baseball-match-for-the-state-championship.html,,,,5,The New York Times,[],"{'main': 'CONNECTICUT.; Base-Ball Match for the State Championship.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'CONNECTICUT.; Base-Ball Match for the State Championship.', 'name': None, 'seo': None, 'sub': None}",[],1866-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0ba9221c-d2f0-512d-99d5-e83ff2ea30a4,0,nyt://article/0ba9221c-d2f0-512d-99d5-e83ff2ea30a4,
,https://www.nytimes.com/1866/10/01/archives/railroads.html,,,,7,The New York Times,[],"{'main': 'RAILROADS.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'RAILROADS.', 'name': None, 'seo': None, 'sub': None}",[],1866-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/0c48c7ff-7ad2-5143-af40-fbe4b0ce8506,0,nyt://article/0c48c7ff-7ad2-5143-af40-fbe4b0ce8506,
"Leaving St. Paul by the last afternoon train, we arrived at Mendota, opposite Fort Spelling, in season to enjoy the sunset and the extensive view from, ""Pilot Knob"" Mountain. This mountain, or more properly, hill, is an elevation immediately back of Mendota, and being somewhat higher than the country around, affords a fine prospect.  ",https://www.nytimes.com/1866/10/01/archives/the-west-through-central-minnesota-pilot-knobfort-snellingthe.html,,,,8,The New York Times,[],"{'main': 'THE WEST.; THROUGH CENTRAL MINNESOTA. ""Pilot Knob""--Fort Snelling--The Garden State--The Wheat Crop--Progress of Settlement and Civilization--Down the Mississippi--Railroad Enterprise.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'THE WEST.; THROUGH CENTRAL MINNESOTA. ""Pilot Knob""--Fort Snelling--The Garden State--The Wheat Crop--Progress of Settlement and Civilization--Down the Mississippi--Railroad Enterprise.', 'name': None, 'seo': None, 'sub': None}",[],1866-10-01 05:00:00+00:00,article,,Archives,"{'original': 'Correspondence of the New-York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/105d74aa-c1d7-5290-9a11-cbdb58099b94,0,nyt://article/105d74aa-c1d7-5290-9a11-cbdb58099b94,
"Mme. RISTORI enters upon the third week of her American engagement to-night when she makes her sixth appearance. Her success is well assured and merited, and is of a character which will undoubtedly increase. Of the two characters interpreted by Mme. RISTORI Maria Stuart has attracted the most sympathy.  ",https://www.nytimes.com/1866/10/01/archives/amusements.html,,,,4,The New York Times,[],"{'main': 'AMUSEMENTS.', 'kicker': '2', 'content_kicker': None, 'print_headline': 'AMUSEMENTS.', 'name': None, 'seo': None, 'sub': None}",[],1866-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/13fcc429-c59d-5141-bd44-587178f04802,0,nyt://article/13fcc429-c59d-5141-bd44-587178f04802,
Canals Auditor Benton Announcing Sufficiency of Income without Taxation,https://www.nytimes.com/1866/10/01/archives/the-canals-and-taxationthe-people-saved-from-excessive-taxation.html,Canals Auditor Benton Announcing Sufficiency of Income without Taxation,,,1,The New York Times,[],"{'main': 'The Canals and Taxation--The People Saved from Excessive Taxation.', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Canals and Taxation--The People Saved from Excessive Taxation.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'New York State', 'rank': 1, 'major': 'N'}]",1866-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/17e672b0-e6d4-530e-98aa-5034305505b9,0,nyt://article/17e672b0-e6d4-530e-98aa-5034305505b9,
"REDUCTION OF ATLANTIC CABLE FARES.--It is announced that the directors of the Atlantic Telegraph Company have at last come to the sensible conclusion to reduce their tariff. With only one line connecting the two conti tinents, they have been drawing a gross revenue at the rate of some nine hundredthousand pounds sterling a year.  ",https://www.nytimes.com/1866/10/01/archives/article-7-no-title.html,,,,4,The New York Times,[],"{'main': 'Article 7 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 7 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1866-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/197100a5-5540-56ae-bf4c-6b996a036757,0,nyt://article/197100a5-5540-56ae-bf4c-6b996a036757,
"AN ADVENTUROUS CAREER PROBABLY CLOSED.--JOHN KAY, alias C. J. Worrell, alias J. G. Ray, who recently, under pretence of being a Richmond detective, swindled one MOSES, Washington City, out of a lot of valuable jewelry and a draft, and by forging MOSES' name to the draft obtained the money from a Lynchburgh Bank, was examined on these several charges before the Mayor of Lynchburgh on Saturday, and sent on for trial.  ",https://www.nytimes.com/1866/10/01/archives/front-page-1-no-title.html,,,,1,The New York Times,[],"{'main': 'Front Page 1 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Front Page 1 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1866-10-01 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/1c8ca952-d067-5747-9c00-57fc650a24ba,0,nyt://article/1c8ca952-d067-5747-9c00-57fc650a24ba,
