abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri,subsection_name
,https://www.nytimes.com/1911/12/12/archives/hyde-juror-flees-crawls-through-transom-and-jumps-from-fire-escape.html,,,,4.0,The New York Times,[],"{'main': 'HYDE JUROR FLEES.; Crawls Through Transom and Jumps from Fire Escape While Guard Sleeps.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'HYDE JUROR FLEES.; Crawls Through Transom and Jumps from Fire Escape While Guard Sleeps.', 'name': None, 'seo': None, 'sub': None}",[],1911-12-12 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/27de2516-da22-57d7-9f90-2fcd71482809,0,nyt://article/27de2516-da22-57d7-9f90-2fcd71482809,
club govs bd orders club disbanded,https://www.nytimes.com/1911/12/12/archives/pistol-in-newport-game-clubman-with-marked-cards-ordered-to-return.html,club govs bd orders club disbanded,,,6.0,The New York Times,[],"{'main': 'PISTOL IN NEWPORT GAME.; Clubman with Marked Cards Ordered to Return Winnings or Leave Town.', 'kicker': None, 'content_kicker': None, 'print_headline': 'PISTOL IN NEWPORT GAME.; Clubman with Marked Cards Ordered to Return Winnings or Leave Town.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'New York City', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'GAYNOR, WILLIAM JAY', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Finances', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Gambling', 'rank': 4, 'major': 'N'}]",1911-12-12 05:00:00+00:00,article,,Archives,"{'original': 'Special to The New York Times', 'person': [{'firstname': '', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/28615d9d-bc05-5571-a616-e742cfb0d381,0,nyt://article/28615d9d-bc05-5571-a616-e742cfb0d381,
,https://www.nytimes.com/1911/12/12/archives/the-college-graduates-stipend.html,,,,10.0,The New York Times,[],"{'main': ""The College Graduate's Stipend."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""The College Graduate's Stipend."", 'name': None, 'seo': None, 'sub': None}",[],1911-12-12 05:00:00+00:00,article,,Archives,"{'original': 'COLLEAGUE', 'person': [{'firstname': 'Colleague', 'middlename': None, 'lastname': '', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",Archives,nyt://article/2bf7fdd1-d5c9-5fdd-b071-d1b1e9904a70,0,nyt://article/2bf7fdd1-d5c9-5fdd-b071-d1b1e9904a70,
,https://www.nytimes.com/1911/12/12/archives/badly-hurt-in-jersey-trolley-crash.html,,,,5.0,The New York Times,[],"{'main': 'Badly Hurt In Jersey Trolley Crash.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Badly Hurt In Jersey Trolley Crash.', 'name': None, 'seo': None, 'sub': None}",[],1911-12-12 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/30618f45-cec3-5982-8556-54f68cfa9041,0,nyt://article/30618f45-cec3-5982-8556-54f68cfa9041,
"ends; brings $1,398,000",https://www.nytimes.com/1911/12/12/archives/sultans-gems-1398000-sale-of-abdul-hamids-jewels-concluded-result-a.html,"ends; brings $1,398,000",,,4.0,The New York Times,[],"{'main': ""SULTAN'S GEMS, $1,398,000.; Sale of Abdul Hamids Jewels Concluded -- Result a Disappointment."", 'kicker': None, 'content_kicker': None, 'print_headline': ""SULTAN'S GEMS, $1,398,000.; Sale of Abdul Hamids Jewels Concluded -- Result a Disappointment."", 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Jewels and Jewelry', 'rank': 1, 'major': 'N'}]",1911-12-12 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/345d3142-6427-5b73-bfb9-02b14e5c1204,0,nyt://article/345d3142-6427-5b73-bfb9-02b14e5c1204,
,https://www.nytimes.com/1911/12/12/archives/suicides-in-an-exchange-widow-and-daughter-had-lost-their-fortune.html,,,,4.0,The New York Times,[],"{'main': 'SUICIDES IN AN EXCHANGE.; Widow and Daughter Had Lost Their Fortune in Speculation.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'SUICIDES IN AN EXCHANGE.; Widow and Daughter Had Lost Their Fortune in Speculation.', 'name': None, 'seo': None, 'sub': None}",[],1911-12-12 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/346fe9db-f036-538f-bbea-3541137950c6,0,nyt://article/346fe9db-f036-538f-bbea-3541137950c6,
A Gura-Hummel and H Gura sue F C Whitney for breaking contract with them for US tour,https://www.nytimes.com/1911/12/12/archives/singers-sue-fc-whitney-demanding-13000-for-breach-of-contract.html,A Gura-Hummel and H Gura sue F C Whitney for breaking contract with them for US tour,,,9.0,The New York Times,[],"{'main': 'SINGERS SUE F.C. WHITNEY.; Demanding $13,000 for Breach of Contract.', 'kicker': None, 'content_kicker': None, 'print_headline': 'SINGERS SUE F.C. WHITNEY.; Demanding $13,000 for Breach of Contract.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Opera', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'GENERAL', 'rank': 2, 'major': 'N'}]",1911-12-12 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/35be52fb-422c-5851-81eb-463b515dbaef,0,nyt://article/35be52fb-422c-5851-81eb-463b515dbaef,
"Henry Riehl, Superintendent of Luna Park, walked down the main walk of the big Coney Island amusement place at 2:55 o'clock yesterday afternoon and noticed a thin line of flame eating its way up one of the cupolas of the Alhambra restaurant on the west side of the walk and just south of the park lake.  ",https://www.nytimes.com/1911/12/12/archives/slice-of-luna-park-eaten-out-by-fire-only-the-restaurant-tube-ride.html,,,,2.0,The New York Times,[],"{'main': 'SLICE OF LUNA PARK EATEN OUT BY FIRE; Only the Restaurant, Tube Ride, and Checker Slide Put Out of Business.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'SLICE OF LUNA PARK EATEN OUT BY FIRE; Only the Restaurant, Tube Ride, and Checker Slide Put Out of Business.', 'name': None, 'seo': None, 'sub': None}",[],1911-12-12 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/36597bef-808e-56b5-8cdd-a01654ce6be8,0,nyt://article/36597bef-808e-56b5-8cdd-a01654ce6be8,
"Freighter New Haven and passenger steamboat Chelsea go aground in fog on Sunken Meadows above Hell Gate, East River",https://www.nytimes.com/1911/12/12/archives/two-sound-boats-on-sunken-meadows-freighter-new-haven-and-the.html,"Freighter New Haven and passenger steamboat Chelsea go aground in fog on Sunken Meadows above Hell Gate, East River",,,6.0,The New York Times,[],"{'main': 'TWO SOUND BOATS ON SUNKEN MEADOWS; Freighter New Haven and the Chelsea, with Passengers, Strike in the Mist.', 'kicker': None, 'content_kicker': None, 'print_headline': 'TWO SOUND BOATS ON SUNKEN MEADOWS; Freighter New Haven and the Chelsea, with Passengers, Strike in the Mist.', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Ships and Shipping', 'rank': 1, 'major': 'N'}]",1911-12-12 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/3756dcc3-a44b-5b83-94fd-9bbd46619bec,0,nyt://article/3756dcc3-a44b-5b83-94fd-9bbd46619bec,
,https://www.nytimes.com/1911/12/12/archives/warning-out-for-a-coast-storm.html,,,,20.0,The New York Times,[],"{'main': 'Warning Out for a Coast Storm.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Warning Out for a Coast Storm.', 'name': None, 'seo': None, 'sub': None}",[],1911-12-12 05:00:00+00:00,article,,Archives,"{'original': '', 'person': [], 'organization': None}",Archives,nyt://article/376b60f8-b0a3-519f-8661-4c1cebc66154,0,nyt://article/376b60f8-b0a3-519f-8661-4c1cebc66154,
